id,tanggal (WIB),waktu (WIB),lintang,bujur,tingkat kepercayaan,satelit,radius kemungkinan,kecamatan,kabupaten,provinsi,tipe
3809687,8/8/2023,12:45:43,-7.1093936,106.534935,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3809690,8/8/2023,12:45:43,-6.61434603,108.0779114,8,snpp,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3810145,8/8/2023,13:38:21,-7.39006901,106.7021103,8,noaa20,1125,Tegalbuleud,Sukabumi,Jawa Barat,Cluster
3810146,8/8/2023,13:38:21,-6.78145409,108.5275574,8,noaa20,1125,Beber,Cirebon,Jawa Barat,Cluster
3810147,8/8/2023,13:38:21,-6.96656275,107.1972656,8,noaa20,1125,Rongga,Bandung Barat,Jawa Barat,Cluster
3810148,8/8/2023,13:38:21,-7.05989504,106.606102,8,noaa20,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3810149,8/8/2023,13:38:21,-7.03746939,106.6676254,8,noaa20,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3810150,8/8/2023,13:38:21,-6.910489555,107.2991028,8,noaa20,1280,Rongga,Bandung Barat,Jawa Barat,Cluster
3810518,8/9/2023,0:38:23,-6.54680014,108.0955505,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3810543,8/9/2023,0:38:23,-6.99752665,107.7857513,8,noaa20,1125,Rancaekek,Bandung,Jawa Barat,Cluster
3810593,8/9/2023,1:32:26,-6.54685831,108.0921631,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3810595,8/9/2023,1:32:26,-6.82458735,108.3683701,8,snpp,1125,Rajagaluh,Majalengka,Jawa Barat,Cluster
3810938,8/9/2023,12:26:47,-6.63024092,107.999424,8,snpp,1280,Terisi,Indramayu,Jawa Barat,Cluster
3810939,8/9/2023,12:26:47,-6.6053679,108.1388206,8,snpp,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3810941,8/9/2023,12:26:47,-6.580088375,108.1192932,8,snpp,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3811405,8/9/2023,13:19:26,-7.32918501,106.9791184,8,noaa20,1125,Leles,Cianjur,Jawa Barat,Cluster
3811407,8/9/2023,13:19:26,-7.00652838,107.9346695,7,noaa20,1125,Baluburlimbangan,Garut,Jawa Barat,Cluster
3811408,8/9/2023,13:19:26,-7.18459558,106.7245483,8,noaa20,1125,Lengkong,Sukabumi,Jawa Barat,Cluster
3811409,8/9/2023,13:19:26,-7.17279053,106.6908646,8,noaa20,1125,Lengkong,Sukabumi,Jawa Barat,Cluster
3811410,8/9/2023,13:19:26,-7.20501852,106.4443779,8,noaa20,1280,Cilacap,Sukabumi,Jawa Barat,Cluster
3811411,8/9/2023,13:19:26,-6.65338182,108.3391953,8,noaa20,1125,Ligung,Majalengka,Jawa Barat,Cluster
3811412,8/9/2023,13:19:26,-6.608991625,108.1407852,8,noaa20,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3811413,8/9/2023,13:19:26,-6.63257504,108.0001755,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3811414,8/9/2023,13:19:26,-6.54755259,108.0948029,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3811415,8/9/2023,13:19:26,-6.59159851,107.7412643,8,noaa20,1125,Subang,Subang,Jawa Barat,Cluster
3811416,8/9/2023,13:19:26,-6.52601528,107.8308411,8,noaa20,1125,Cipunagara,Subang,Jawa Barat,Cluster
3811417,8/9/2023,13:19:26,-6.50727129,106.9618073,8,noaa20,1125,Klapanunggal,Bogor,Jawa Barat,Cluster
3811418,8/9/2023,13:19:26,-6.40255213,107.4018097,8,noaa20,1125,Purwasari,Karawang,Jawa Barat,Cluster
3811419,8/9/2023,13:19:26,-6.34638309,107.6994553,8,noaa20,1125,Ciasem,Subang,Jawa Barat,Cluster
3811943,8/10/2023,0:19:27,-6.20114279,107.1020279,8,noaa20,1125,Cibitung,Bekasi,Jawa Barat,Cluster
3811946,8/10/2023,0:19:27,-6.54755521,108.0939407,8,noaa20,1280,Terisi,Indramayu,Jawa Barat,Cluster
3811948,8/10/2023,0:19:27,-6.59695927,108.0642878,8,noaa20,1399,Terisi,Indramayu,Jawa Barat,Cluster
3812047,8/10/2023,1:12:05,-6.20333672,107.1028366,8,snpp,1125,Cibitung,Bekasi,Jawa Barat,Cluster
